,Purchase,Target,WeekofPurchase,PurchaseWeek,StoreID,PriceCH,PriceMM,DiscCH,DiscMM,SpecialCH,SpecialMM,LoyalCH,SalePriceMM,SalePriceCH,PriceDiff,PriceDiff_Pos_Neg_None,Store7,PctDiscMM,PctDiscCH,ListPriceDiff,STORE
4,MM,1,227,w-227,1,1.69,1.69,0,0,0,0,0.4,1.69,1.69,0,11,No,0,0,0,1
40,CH,0,227,w-227,4,1.79,1.79,0,0,0,1,0.920961,1.79,1.79,0,11,No,0,0,0,4
98,CH,0,227,w-227,2,1.69,1.69,0,0,0,0,0.744,1.69,1.69,0,11,No,0,0,0,2
355,MM,1,227,w-227,4,1.79,1.79,0,0,0,1,0.5,1.79,1.79,0,11,No,0,0,0,4
384,CH,0,227,w-227,7,1.69,1.69,0,0,0,1,0.072993,1.69,1.69,0,11,Yes,0,0,0,0
385,MM,1,227,w-227,2,1.69,1.69,0,0,0,0,0.258395,1.69,1.69,0,11,No,0,0,0,2
407,MM,1,227,w-227,1,1.69,1.69,0,0,0,0,0.433472,1.69,1.69,0,11,No,0,0,0,1
462,CH,0,227,w-227,4,1.79,1.79,0,0,0,1,0.48,1.79,1.79,0,11,No,0,0,0,4
566,MM,1,227,w-227,4,1.79,1.79,0,0,0,1,0.4,1.79,1.79,0,11,No,0,0,0,4
689,MM,1,227,w-227,3,1.79,1.79,0,0,0,1,0.053687,1.79,1.79,0,11,No,0,0,0,3
932,CH,0,227,w-227,4,1.79,1.79,0,0,0,1,0.5,1.79,1.79,0,11,No,0,0,0,4
935,MM,1,227,w-227,2,1.69,1.69,0,0,0,0,0.211886,1.69,1.69,0,11,No,0,0,0,2
963,CH,0,227,w-227,1,1.69,1.69,0,0,0,0,0.6,1.69,1.69,0,11,No,0,0,0,1
1003,MM,1,227,w-227,3,1.79,1.79,0,0,0,1,0.16384,1.79,1.79,0,11,No,0,0,0,3
1056,MM,1,227,w-227,1,1.69,1.69,0,0,0,0,0.32,1.69,1.69,0,11,No,0,0,0,1
5,CH,0,228,w-228,7,1.69,1.69,0,0,0,0,0.956535,1.69,1.69,0,11,Yes,0,0,0,0
153,CH,0,228,w-228,4,1.79,1.79,0,0,0,0,0.83616,1.79,1.79,0,11,No,0,0,0,4
222,MM,1,228,w-228,1,1.69,1.69,0,0,0,0,0.32,1.69,1.69,0,11,No,0,0,0,1
232,CH,0,228,w-228,7,1.69,1.69,0,0,0,0,0.535142,1.69,1.69,0,11,Yes,0,0,0,0
297,CH,0,228,w-228,2,1.69,1.69,0,0,0,0,0.48,1.69,1.69,0,11,No,0,0,0,2
374,MM,1,228,w-228,1,1.69,1.69,0,0,0,0,0.5,1.69,1.69,0,11,No,0,0,0,1
377,MM,1,228,w-228,2,1.69,1.69,0,0,0,0,0.256,1.69,1.69,0,11,No,0,0,0,2
386,MM,1,228,w-228,2,1.69,1.69,0,0,0,0,0.206716,1.69,1.69,0,11,No,0,0,0,2
463,CH,0,228,w-228,7,1.69,1.69,0,0,0,0,0.584,1.69,1.69,0,11,Yes,0,0,0,0
544,MM,1,228,w-228,3,1.79,1.79,0,0,0,0,0.26624,1.79,1.79,0,11,No,0,0,0,3
665,MM,1,228,w-228,2,1.69,1.69,0,0,0,0,0.5,1.69,1.69,0,11,No,0,0,0,2
690,MM,1,228,w-228,3,1.79,1.79,0,0,0,0,0.04295,1.79,1.79,0,11,No,0,0,0,3
750,CH,0,228,w-228,2,1.69,1.69,0,0,0,0,0.6,1.69,1.69,0,11,No,0,0,0,2
770,MM,1,228,w-228,2,1.69,1.69,0,0,0,0,0.5,1.69,1.69,0,11,No,0,0,0,2
822,CH,0,228,w-228,4,1.79,1.79,0,0,0,0,0.740314,1.79,1.79,0,11,No,0,0,0,4
832,MM,1,228,w-228,2,1.69,1.69,0,0,0,0,0.32,1.69,1.69,0,11,No,0,0,0,2
864,CH,0,228,w-228,7,1.69,1.69,0,0,0,0,0.351365,1.69,1.69,0,11,Yes,0,0,0,0
1001,MM,1,228,w-228,2,1.69,1.69,0,0,0,0,0.4,1.69,1.69,0,11,No,0,0,0,2
1036,MM,1,228,w-228,1,1.69,1.69,0,0,0,0,0.5,1.69,1.69,0,11,No,0,0,0,1
1037,MM,1,228,w-228,1,1.69,1.69,0,0,0,0,0.4,1.69,1.69,0,11,No,0,0,0,1
1050,MM,1,228,w-228,7,1.69,1.69,0,0,0,0,0.744,1.69,1.69,0,11,Yes,0,0,0,0
1057,CH,0,228,w-228,7,1.69,1.69,0,0,0,0,0.256,1.69,1.69,0,11,Yes,0,0,0,0
41,CH,0,229,w-229,4,1.79,1.79,0,0,0,0,0.936769,1.79,1.79,0,11,No,0,0,0,4
99,CH,0,229,w-229,2,1.69,1.69,0,0,0,0,0.7952,1.69,1.69,0,11,No,0,0,0,2
171,CH,0,229,w-229,7,1.69,1.69,0,0.2,0,1,0.95705,1.49,1.69,-0.2,10,Yes,0.118343,0,0,0
202,MM,1,229,w-229,7,1.69,1.69,0,0.2,0,1,0.68,1.49,1.69,-0.2,10,Yes,0.118343,0,0,0
256,CH,0,229,w-229,7,1.69,1.69,0,0.2,0,1,0.16384,1.49,1.69,-0.2,10,Yes,0.118343,0,0,0
268,MM,1,229,w-229,3,1.79,1.79,0,0,0,0,0.5648,1.79,1.79,0,11,No,0,0,0,3
274,MM,1,229,w-229,3,1.79,1.79,0,0,0,0,0.027488,1.79,1.79,0,11,No,0,0,0,3
298,MM,1,229,w-229,2,1.69,1.69,0,0,0,0,0.584,1.69,1.69,0,11,No,0,0,0,2
333,MM,1,229,w-229,7,1.69,1.69,0,0.2,0,1,0.149422,1.49,1.69,-0.2,10,Yes,0.118343,0,0,0
356,MM,1,229,w-229,4,1.79,1.79,0,0,0,0,0.4,1.79,1.79,0,11,No,0,0,0,4
378,MM,1,229,w-229,2,1.69,1.69,0,0,0,0,0.2048,1.69,1.69,0,11,No,0,0,0,2
387,MM,1,229,w-229,2,1.69,1.69,0,0,0,0,0.165373,1.69,1.69,0,11,No,0,0,0,2
501,CH,0,229,w-229,3,1.79,1.79,0,0,0,0,0.4,1.79,1.79,0,11,No,0,0,0,3
691,MM,1,229,w-229,3,1.79,1.79,0,0,0,0,0.03436,1.79,1.79,0,11,No,0,0,0,3
737,MM,1,229,w-229,3,1.79,1.79,0,0,0,0,0.48,1.79,1.79,0,11,No,0,0,0,3
751,CH,0,229,w-229,7,1.69,1.69,0,0.2,0,1,0.68,1.49,1.69,-0.2,10,Yes,0.118343,0,0,0
771,MM,1,229,w-229,2,1.69,1.69,0,0,0,0,0.4,1.69,1.69,0,11,No,0,0,0,2
823,CH,0,229,w-229,4,1.79,1.79,0,0,0,0,0.792251,1.79,1.79,0,11,No,0,0,0,4
936,MM,1,229,w-229,2,1.69,1.69,0,0,0,0,0.169509,1.69,1.69,0,11,No,0,0,0,2
964,MM,1,229,w-229,1,1.69,1.69,0,0,0,0,0.68,1.69,1.69,0,11,No,0,0,0,1
993,MM,1,229,w-229,7,1.69,1.69,0,0.2,0,1,0.5,1.49,1.69,-0.2,10,Yes,0.118343,0,0,0
997,CH,0,229,w-229,7,1.69,1.69,0,0.2,0,1,0.6,1.49,1.69,-0.2,10,Yes,0.118343,0,0,0
1009,CH,0,229,w-229,7,1.69,1.69,0,0.2,0,1,0.4,1.49,1.69,-0.2,10,Yes,0.118343,0,0,0
6,CH,0,230,w-230,7,1.69,1.99,0,0,0,1,0.965228,1.99,1.69,0.3,13,Yes,0,0,0.3,0
42,CH,0,230,w-230,4,1.79,1.79,0,0,0,0,0.949415,1.79,1.79,0,11,No,0,0,0,4
75,CH,0,230,w-230,7,1.69,1.99,0,0,0,1,0.68,1.99,1.69,0.3,13,Yes,0,0,0.3,0
154,CH,0,230,w-230,3,1.79,1.79,0,0,0,0,0.868928,1.79,1.79,0,11,No,0,0,0,3
172,CH,0,230,w-230,7,1.69,1.99,0,0,0,1,0.96564,1.99,1.69,0.3,13,Yes,0,0,0.3,0
203,CH,0,230,w-230,7,1.69,1.99,0,0,0,1,0.544,1.99,1.69,0.3,13,Yes,0,0,0.3,0
325,MM,1,230,w-230,1,1.69,1.69,0,0.2,0,0,0.4,1.49,1.69,-0.2,10,No,0.118343,0,0,1
353,CH,0,230,w-230,4,1.79,1.79,0,0,0,0,0.52,1.79,1.79,0,11,No,0,0,0,4
357,MM,1,230,w-230,4,1.79,1.79,0,0,0,0,0.32,1.79,1.79,0,11,No,0,0,0,4
388,MM,1,230,w-230,7,1.69,1.99,0,0,0,1,0.132298,1.99,1.69,0.3,13,Yes,0,0,0.3,0
412,MM,1,230,w-230,3,1.79,1.79,0,0,0,0,0.283886,1.79,1.79,0,11,No,0,0,0,3
563,CH,0,230,w-230,4,1.79,1.79,0,0,0,0,0.6672,1.79,1.79,0,11,No,0,0,0,4
577,CH,0,230,w-230,7,1.69,1.99,0,0,0,1,0.6,1.99,1.69,0.3,13,Yes,0,0,0.3,0
